Site: BK7A
Displacement time seires in m
Origin Time: 2002-04-25 1650 22.22
Instrument: CMG-5T #T5301, DD2 #357
Sample Rate: 100 Hz

Time	East	North	Up
------------------------------------------------
 -5.220	 4.86118E-8	 3.06164E-8	-4.15575E-8
 -5.210	 5.06875E-8	 3.54367E-8	-4.25356E-8
 -5.200	 5.25508E-8	 4.02598E-8	-4.36151E-8
 -5.190	 5.41322E-8	 4.48338E-8	-4.47125E-8
 -5.180	 5.55890E-8	 4.90927E-8	-4.58534E-8
 -5.170	 5.68525E-8	 5.34905E-8	-4.71421E-8
 -5.160	 5.78000E-8	 5.81547E-8	-4.82035E-8
 -5.150	 5.84906E-8	 6.31436E-8	-4.88303E-8
 -5.140	 5.88073E-8	 6.82473E-8	-4.92731E-8
 -5.130	 5.88832E-8	 7.31208E-8	-4.94539E-8
 -5.120	 5.91290E-8	 7.77980E-8	-4.93458E-8
 -5.110	 5.95151E-8	 8.21727E-8	-4.93475E-8
 -5.100	 5.97474E-8	 8.63908E-8	-4.92652E-8
 -5.090	 5.97428E-8	 9.04902E-8	-4.90856E-8
 -5.080	 5.94468E-8	 9.42574E-8	-4.89804E-8
 -5.070	 5.91157E-8	 9.79437E-8	-4.88408E-8
 -5.060	 5.87896E-8	 1.01756E-7	-4.85165E-8
 -5.050	 5.82612E-8	 1.05528E-7	-4.79985E-8
 -5.040	 5.77444E-8	 1.09286E-7	-4.72163E-8
 -5.030	 5.73509E-8	 1.13236E-7	-4.65389E-8
 -5.020	 5.70941E-8	 1.16952E-7	-4.57203E-8
 -5.010	 5.68635E-8	 1.20481E-7	-4.49447E-8
 -5.000	 5.65477E-8	 1.23808E-7	-4.40433E-8
 -4.990	 5.57689E-8	 1.26775E-7	-4.28303E-8
 -4.980	 5.47530E-8	 1.29498E-7	-4.14501E-8
 -4.970	 5.37133E-8	 1.31922E-7	-3.99551E-8
 -4.960	 5.28714E-8	 1.34369E-7	-3.85797E-8
 -4.950	 5.19587E-8	 1.36463E-7	-3.75034E-8
 -4.940	 5.08918E-8	 1.38462E-7	-3.66426E-8
 -4.930	 4.95647E-8	 1.39980E-7	-3.58934E-8
 -4.920	 4.79829E-8	 1.41390E-7	-3.53737E-8
 -4.910	 4.63893E-8	 1.42747E-7	-3.52372E-8
 -4.900	 4.49937E-8	 1.43765E-7	-3.52138E-8
 -4.890	 4.36937E-8	 1.44602E-7	-3.50825E-8
 -4.880	 4.24068E-8	 1.45261E-7	-3.48714E-8
 -4.870	 4.14566E-8	 1.45912E-7	-3.48047E-8
 -4.860	 4.06751E-8	 1.46401E-7	-3.47735E-8
 -4.850	 4.00005E-8	 1.46805E-7	-3.48090E-8
 -4.840	 3.92220E-8	 1.47329E-7	-3.48188E-8
 -4.830	 3.85404E-8	 1.47664E-7	-3.46538E-8
 -4.820	 3.77981E-8	 1.48200E-7	-3.44955E-8
 -4.810	 3.69225E-8	 1.48848E-7	-3.42831E-8
 -4.800	 3.60978E-8	 1.49347E-7	-3.44166E-8
 -4.790	 3.50104E-8	 1.49797E-7	-3.47193E-8
 -4.780	 3.40696E-8	 1.50155E-7	-3.46874E-8
 -4.770	 3.33241E-8	 1.50728E-7	-3.42858E-8
 -4.760	 3.24854E-8	 1.51353E-7	-3.36211E-8
 -4.750	 3.15409E-8	 1.51954E-7	-3.29407E-8
 -4.740	 3.03237E-8	 1.52346E-7	-3.24055E-8
 -4.730	 2.88648E-8	 1.52686E-7	-3.18585E-8
 -4.720	 2.73504E-8	 1.52970E-7	-3.12839E-8
 -4.710	 2.56150E-8	 1.53039E-7	-3.07172E-8
 -4.700	 2.39323E-8	 1.53242E-7	-3.03081E-8
 -4.690	 2.18672E-8	 1.52997E-7	-2.99839E-8
 -4.680	 1.96494E-8	 1.52902E-7	-2.95437E-8
 -4.670	 1.72962E-8	 1.52695E-7	-2.89570E-8
 -4.660	 1.48725E-8	 1.52524E-7	-2.82480E-8
 -4.650	 1.28077E-8	 1.52546E-7	-2.75962E-8
 -4.640	 1.08618E-8	 1.52631E-7	-2.70802E-8
 -4.630	 9.05033E-9	 1.52590E-7	-2.64299E-8
 -4.620	 7.11468E-9	 1.52404E-7	-2.53976E-8
 -4.610	 5.34563E-9	 1.52159E-7	-2.39023E-8
 -4.600	 4.03826E-9	 1.51772E-7	-2.22157E-8
 -4.590	 2.72787E-9	 1.51201E-7	-2.05479E-8
 -4.580	 1.65579E-9	 1.50500E-7	-1.88305E-8
 -4.570	 7.84957E-10	 1.50087E-7	-1.70460E-8
 -4.560	 2.35298E-10	 1.49987E-7	-1.52229E-8
 -4.550	-6.73013E-11	 1.49819E-7	-1.33513E-8
 -4.540	-2.96567E-10	 1.49688E-7	-1.14439E-8
 -4.530	-4.60192E-10	 1.49338E-7	-9.69923E-9
 -4.520	-8.26248E-10	 1.49236E-7	-8.14253E-9
 -4.510	-1.29113E-9	 1.49330E-7	-6.60864E-9
 -4.500	-2.16569E-9	 1.49174E-7	-4.95323E-9
 -4.490	-3.07993E-9	 1.49207E-7	-3.34849E-9
 -4.480	-3.81294E-9	 1.49377E-7	-1.40261E-9
 -4.470	-4.55726E-9	 1.49782E-7	 9.28207E-10
 -4.460	-5.43306E-9	 1.49920E-7	 3.37029E-9
