Magnitude,UTC Date,UTC Time,Sydney Date,Sydney Time,Latitude,Longitude,Significant,Depth (km),Solution finalised,Source,EVENT ID,ORIGIN ID
3.1,30/05/02,17:10:26,31/05/02,3:10:26,-30.549,117.069,-,3,FINL,-,1102807,2142613
2.3,29/05/02,19:54:37,30/05/02,5:54:37,-30.539,117.053,-,1,FINL,-,1102806,2142612
2.3,28/05/02,8:32:47,28/05/02,18:32:47,-30.521,117.06,-,2,FINL,-,1102802,2142611
2.2,28/05/02,0:26:39,28/05/02,10:26:39,-30.526,117.057,-,3,FINL,-,1102800,2142620
2.5,27/05/02,5:51:36,27/05/02,15:51:36,-30.523,117.055,-,1,FINL,aust,2730602,2142607
2.7,26/05/02,4:48:49,26/05/02,14:48:49,-30.547,117.062,-,2,FINL,-,1102796,2142602
2.8,25/05/02,14:08:34,26/05/02,0:08:34,-30.523,117.063,-,2,FINL,-,1102795,2142601
2.1,17/05/02,16:55:23,18/05/02,2:55:23,-30.626,118.03,-,7,FINL,-,1102785,2142588
2.6,16/05/02,11:16:48,16/05/02,21:16:48,-30.531,117.043,-,1,FINL,-,1102891,2142587
2.1,9/05/02,16:47:20,10/05/02,2:47:20,-30.527,117.054,-,0,FINL,-,1102881,2142583
3.2,8/05/02,11:18:23,8/05/02,21:18:23,-30.495,117.043,-,1,FINL,-,1102880,2142460
2,7/05/02,22:58:27,8/05/02,8:58:27,-30.528,117.047,-,1,FINL,-,1102879,2142571
2.7,4/05/02,1:37:22,4/05/02,11:37:22,-32.07,117.738,-,3,FINL,-,1102871,2142563
2.2,30/04/02,7:53:28,30/04/02,17:53:28,-30.522,117.065,-,0,FINL,-,1102866,2142555
2.2,29/04/02,9:24:40,29/04/02,19:24:40,-30.62,117.089,-,2,FINL,-,1102865,2142561
3.5,26/04/02,6:43:50,26/04/02,16:43:50,-30.618,117.102,TRUE,4,FINL,-,1102858,2099142
2.2,25/04/02,18:16:43,26/04/02,4:16:43,-30.503,117.053,-,1,FINL,aust,2730600,2142578
2,25/04/02,18:13:10,26/04/02,4:13:10,-30.504,117.052,-,0,FINL,aust,2730599,2142579
3.2,25/04/02,17:47:22,26/04/02,3:47:22,-30.502,117.049,-,1,FINL,-,1102852,2123221
2.7,25/04/02,17:36:16,26/04/02,3:36:16,-30.494,117.056,-,1,FINL,-,1102851,2142560
3.3,25/04/02,16:50:22,26/04/02,2:50:22,-30.498,117.057,-,1,FINL,-,1102850,2142459
2.2,25/04/02,6:18:07,25/04/02,16:18:07,-30.521,117.07,-,1,FINL,-,1102848,1997703
2.2,24/04/02,3:17:47,24/04/02,13:17:47,-30.553,117.026,-,2,FINL,-,1102843,1997700
2.1,23/04/02,21:14:48,24/04/02,7:14:48,-30.495,117.057,-,0,FINL,aust,2730598,1978418
2.2,22/04/02,12:48:38,22/04/02,22:48:38,-30.524,117.05,-,1,FINL,aust,2730596,1978416
2.3,20/04/02,8:37:05,20/04/02,18:37:05,-30.498,117.048,-,2,FINL,-,1102946,1961026
2.3,19/04/02,15:00:44,20/04/02,1:00:44,-30.533,117.065,-,1,FINL,-,1102942,1941454
2.2,19/04/02,11:40:10,19/04/02,21:40:10,-30.546,117.072,-,0,FINL,aust,2730594,1961024
2.4,18/04/02,22:17:28,19/04/02,8:17:28,-30.54,117.061,-,1,FINL,-,1102938,1941445
3.1,18/04/02,19:06:38,19/04/02,5:06:38,-30.544,117.063,-,0,FINL,-,1102935,1941450
2.1,18/04/02,18:57:08,19/04/02,4:57:08,-30.547,117.063,-,0,FINL,aust,2730593,1941449
2.1,18/04/02,18:12:13,19/04/02,4:12:13,-30.524,117.062,-,0,FINL,aust,2730592,1941446
3.8,18/04/02,18:02:07,19/04/02,4:02:07,-30.533,117.06,TRUE,2,FINL,-,1102929,1941430
2,18/04/02,15:00:00,19/04/02,1:00:00,-30.539,117.063,-,0,FINL,aust,2730591,1941444
3.1,18/04/02,14:14:52,19/04/02,0:14:52,-30.537,117.066,-,1,FINL,-,1102925,1941441
3.1,18/04/02,14:09:38,19/04/02,0:09:38,-30.539,117.058,-,2,FINL,-,1102924,1941438
2.1,18/04/02,9:34:43,18/04/02,19:34:43,-30.524,117.04,-,2,FINL,-,1102923,1941439
2.1,17/04/02,4:53:26,17/04/02,14:53:26,-30.524,117.047,-,0,FINL,-,1102918,1941435
2.1,16/04/02,9:51:06,16/04/02,19:51:06,-30.527,117.036,-,1,FINL,aust,2730590,1941431
2.6,15/04/02,7:04:05,15/04/02,17:04:05,-30.537,117.071,-,1,FINL,-,1102910,1925075
2.5,9/04/02,17:20:31,10/04/02,3:20:31,-30.513,117.052,-,1,FINL,-,1102904,1925083
2.8,7/04/02,4:48:30,7/04/02,14:48:30,-30.526,117.062,-,2,FINL,-,1102897,1908783
2.3,7/04/02,4:04:54,7/04/02,14:04:54,-30.526,117.06,-,2,FINL,-,1102896,1908782
2.5,6/04/02,23:37:40,7/04/02,9:37:40,-30.521,117.048,-,1,FINL,-,1102895,1908781
2.3,5/04/02,3:20:08,5/04/02,13:20:08,-30.52,117.062,-,0,FINL,aust,2730589,1908778
2.2,4/04/02,10:09:48,4/04/02,20:09:48,-30.52,117.06,-,0,FINL,-,1102998,1908780
3.5,3/04/02,12:06:48,3/04/02,22:06:48,-30.526,117.051,TRUE,2,FINL,-,1102997,1908773
2.2,31/03/02,12:28:39,31/03/02,22:28:39,-30.515,117.036,-,2,FINL,-,1102992,1908771
3.3,30/03/02,22:39:42,31/03/02,8:39:42,-30.522,117.052,-,2,FINL,-,1102990,1908774
2.4,30/03/02,21:53:27,31/03/02,7:53:27,-30.53,117.041,-,0,FINL,aust,2730588,1908727
5.2,30/03/02,21:15:46,31/03/02,7:15:46,-30.524,117.049,TRUE,1,FINL,-,1102988,1908726
2.8,30/03/02,5:58:20,30/03/02,16:58:20,-30.52,117.054,-,0,FINL,-,1102987,1908770
2.2,29/03/02,16:50:30,30/03/02,3:50:30,-30.524,117.042,-,0,FINL,-,1102985,1908779
3.1,27/03/02,15:01:27,28/03/02,2:01:27,-30.52,117.046,-,1,FINL,-,1102981,1908758
2.2,25/03/02,9:00:52,25/03/02,20:00:52,-30.511,117.055,-,1,FINL,-,1102976,1908764
3.7,25/03/02,5:44:42,25/03/02,16:44:42,-30.517,117.068,TRUE,2,FINL,-,1102974,1908728
2.4,24/03/02,19:55:54,25/03/02,6:55:54,-30.524,117.056,-,0,FINL,-,1102973,1908750
2.3,24/03/02,19:44:20,25/03/02,6:44:20,-30.514,117.05,-,2,FINL,-,1102972,1908751
3,24/03/02,19:27:05,25/03/02,6:27:05,-30.516,117.062,-,1,FINL,-,1102971,1908749
2.1,23/03/02,14:46:42,24/03/02,1:46:42,-30.524,117.067,-,0,FINL,aust,2730587,1908746
3.5,23/03/02,14:20:47,24/03/02,1:20:47,-30.52,117.062,TRUE,1,FINL,-,1102964,1908745
2.2,23/03/02,13:32:45,24/03/02,0:32:45,-30.519,117.055,-,0,FINL,aust,2730586,1908700
4.8,23/03/02,13:16:22,24/03/02,0:16:22,-30.521,117.065,TRUE,2,FINL,-,1102961,1908699
2,22/03/02,14:27:57,23/03/02,1:27:57,-30.518,117.049,-,0,FINL,aust,2730585,1908743
2.3,22/03/02,3:55:44,22/03/02,14:55:44,-30.488,117.078,-,0,FINL,-,1102957,1908755
3.1,22/03/02,3:25:45,22/03/02,14:25:45,-30.499,117.063,-,1,FINL,-,1102956,1908756
3.3,22/03/02,3:24:59,22/03/02,14:24:59,-30.506,117.07,-,1,FINL,-,1102955,1908757
2.9,21/03/02,21:39:44,22/03/02,8:39:44,-30.501,117.065,-,1,FINL,-,1102954,1908742
2.1,21/03/02,14:38:18,22/03/02,1:38:18,-30.506,117.06,-,2,FINL,-,1102953,2142595
2.8,21/03/02,5:10:29,21/03/02,16:10:29,-30.483,117.06,-,2,FINL,-,1102952,1908723
2.4,21/03/02,4:41:44,21/03/02,15:41:44,-30.503,117.055,-,1,FINL,-,1102951,1908722
2.9,21/03/02,1:44:59,21/03/02,12:44:59,-30.495,117.057,-,1,FINL,-,1102950,2142596
2.4,20/03/02,23:17:32,21/03/02,10:17:32,-30.506,117.057,-,2,FINL,-,1102949,1908738
2.6,20/03/02,22:32:50,21/03/02,9:32:50,-30.51,117.044,-,3,FINL,-,1102948,1908737
2.3,20/03/02,22:28:56,21/03/02,9:28:56,-30.498,117.047,-,0,FINL,-,1102947,1908736
2.6,20/03/02,22:17:40,21/03/02,9:17:40,-30.501,117.062,-,1,FINL,-,1103055,1908735
2.5,20/03/02,22:15:35,21/03/02,9:15:35,-30.507,117.045,-,1,FINL,-,1103054,1908734
2,20/03/02,21:33:33,21/03/02,8:33:33,-30.512,117.047,-,1,FINL,-,1103053,1908733
2.4,20/03/02,21:16:35,21/03/02,8:16:35,-30.494,117.051,-,0,FINL,-,1103052,1908732
3.2,20/03/02,11:47:03,20/03/02,22:47:03,-30.508,117.06,-,1,FINL,-,1103050,1908715
2,17/03/02,9:28:31,17/03/02,20:28:31,-30.495,117.05,-,0,FINL,-,1103043,1908720
2,17/03/02,9:18:58,17/03/02,20:18:58,-30.511,117.046,-,0,FINL,aust,2730582,1908719
2.1,15/03/02,20:08:09,16/03/02,7:08:09,-30.549,117.061,-,0,FINL,aust,2730581,1908692
2,15/03/02,10:29:09,15/03/02,21:29:09,-30.517,117.066,-,1,FINL,-,1103029,1908687
2.3,13/03/02,11:55:09,13/03/02,22:55:09,-30.523,117.047,-,2,FINL,-,1103014,1908693
2,12/03/02,12:53:53,12/03/02,23:53:53,-30.551,117.062,-,0,FINL,-,1103002,1908674
2,12/03/02,2:34:03,12/03/02,13:34:03,-30.523,117.047,-,2,FINL,-,1103110,1908697
2,10/03/02,9:13:01,10/03/02,20:13:01,-30.513,117.06,-,2,FINL,-,1103105,1908659
2.4,8/03/02,16:54:17,9/03/02,3:54:17,-30.521,117.066,-,1,FINL,-,1103094,1908639
2,7/03/02,15:52:34,8/03/02,2:52:34,-30.495,117.04,-,0,FINL,-,1103085,1908609
2.2,6/03/02,21:21:21,7/03/02,8:21:21,-30.508,117.038,-,0,FINL,aust,2730566,1908651
2.4,6/03/02,18:49:47,7/03/02,5:49:47,-30.593,116.49,-,0,FINL,-,1103073,1908602
2.1,6/03/02,13:27:37,7/03/02,0:27:37,-30.502,117.05,-,0,FINL,-,1103071,1908600
2,5/03/02,20:47:38,6/03/02,7:47:38,-30.502,117.03,-,0,FINL,aust,2730563,1908599
2.9,5/03/02,12:41:25,5/03/02,23:41:25,-30.5,117.05,-,1,FINL,-,1103057,1908598
2.1,5/03/02,7:38:15,5/03/02,18:38:15,-30.502,117.036,-,0,FINL,-,1103159,1908642
4.6,5/03/02,3:29:57,5/03/02,14:29:57,-30.495,117.075,TRUE,0,FINL,-,1103153,1908575
2.3,5/03/02,2:42:15,5/03/02,13:42:15,-30.52,117.025,-,2,FINL,-,1103148,1908631
2,5/03/02,2:38:08,5/03/02,13:38:08,-30.51,117.058,-,0,FINL,aust,2730557,1908630
2.2,5/03/02,2:13:41,5/03/02,13:13:41,-30.504,117.055,-,1,FINL,aust,2730554,1908626
2,5/03/02,2:10:27,5/03/02,13:10:27,-30.506,117.045,-,0,FINL,-,1103142,1908625
2.8,5/03/02,2:08:03,5/03/02,13:08:03,-30.497,117.058,-,0,FINL,-,1103141,1908597
2.2,5/03/02,2:03:41,5/03/02,13:03:41,-30.505,117.04,-,1,FINL,aust,2730553,1908624
5,5/03/02,1:47:38,5/03/02,12:47:38,-30.479,117.084,TRUE,1,FINL,-,1103138,1908574
2.1,4/03/02,23:29:56,5/03/02,10:29:56,-30.432,117.094,-,2,FINL,-,1103137,2142880
2.4,3/03/02,15:07:43,4/03/02,2:07:43,-30.536,117.075,-,0,FINL,-,1103134,2142876
2.9,3/03/02,9:44:28,3/03/02,20:44:28,-30.503,117.048,-,0,FINL,-,1103131,1908595
2.3,2/03/02,11:18:24,2/03/02,22:18:24,-30.526,117.041,-,2,FINL,-,1103129,1908594
2.2,2/03/02,9:14:15,2/03/02,20:14:15,-30.532,117.057,-,2,FINL,-,1103128,2142875
3.1,1/03/02,18:47:45,2/03/02,5:47:45,-30.486,117.058,-,0,FINL,-,1103127,1908573
2.6,28/02/02,3:39:14,28/02/02,14:39:14,-30.507,117.064,-,1,FINL,-,1103125,1908572
2.6,27/02/02,7:35:23,27/02/02,18:35:23,-30.505,117.078,-,1,FINL,-,1103122,1908570
2.4,27/02/02,2:14:24,27/02/02,13:14:24,-30.501,117.069,-,1,FINL,aust,2730551,2142982
2,25/02/02,18:04:12,26/02/02,5:04:12,-30.504,117.062,-,0,FINL,aust,2730549,2143045
2.1,25/02/02,17:59:15,26/02/02,4:59:15,-30.511,117.062,-,0,FINL,-,1103114,2143044
3.5,25/02/02,17:37:17,26/02/02,4:37:17,-30.504,117.072,TRUE,2,FINL,-,1103112,1908569
2,25/02/02,14:13:00,26/02/02,1:13:00,-30.541,117.055,-,2,FINL,-,1103111,2143042
2.7,25/02/02,6:39:07,25/02/02,17:39:07,-30.5,117.073,-,0,FINL,-,1103216,1908568
2.9,24/02/02,20:28:18,25/02/02,7:28:18,-30.505,117.065,-,1,FINL,-,1103215,1908712
2.1,24/02/02,18:18:41,25/02/02,5:18:41,-30.508,117.068,-,1,FINL,-,1103213,2143040
2,24/02/02,17:30:40,25/02/02,4:30:40,-30.505,117.071,-,1,FINL,-,1103211,2143038
2.1,24/02/02,16:40:40,25/02/02,3:40:40,-30.511,117.06,-,0,FINL,aust,2730548,2143037
2.1,24/02/02,15:20:02,25/02/02,2:20:02,-30.508,117.064,-,1,FINL,-,1103209,2142968
2,22/02/02,23:44:15,23/02/02,10:44:15,-30.52,117.06,-,0,FINL,-,1103202,2142943
2.2,20/02/02,0:20:26,20/02/02,11:20:26,-30.536,117.037,-,5,FINL,-,1103199,2143033
2,18/02/02,5:10:46,18/02/02,16:10:46,-30.517,117.031,-,1,FINL,-,1103196,2142958
2.6,13/02/02,16:43:09,14/02/02,3:43:09,-30.526,117.052,-,2,FINL,-,1103193,1908549
3.1,13/02/02,0:33:14,13/02/02,11:33:14,-30.523,117.048,-,2,FINL,-,1103192,1908548
3,13/02/02,0:32:29,13/02/02,11:32:29,-30.528,117.038,-,2,FINL,-,1103191,1908547
2.5,12/02/02,19:22:49,13/02/02,6:22:49,-30.53,117.048,-,0,FINL,-,1103190,2142981
2.2,12/02/02,10:10:35,12/02/02,21:10:35,-30.544,117.039,-,2,FINL,-,1103189,2142980
2.5,11/02/02,18:32:23,12/02/02,5:32:23,-30.544,117.042,-,0,FINL,-,1103187,2142979
2.2,9/02/02,20:48:30,10/02/02,7:48:30,-30.545,117.043,-,2,FINL,-,1103183,2142978
2.4,9/02/02,14:33:29,10/02/02,1:33:29,-30.541,117.048,-,2,FINL,-,1103182,1908706
2,9/02/02,7:18:18,9/02/02,18:18:18,-31.986,116.741,-,0,FINL,-,1103180,1908705
2.5,7/02/02,9:16:39,7/02/02,20:16:39,-30.529,117.06,-,1,FINL,aust,2730544,2142977
2.3,4/02/02,10:15:44,4/02/02,21:15:44,-30.521,117.051,-,2,FINL,-,1103171,2142827
2.6,2/02/02,3:44:47,2/02/02,14:44:47,-30.536,117.035,-,2,FINL,-,1103167,1908530
2.7,31/01/02,1:36:05,31/01/02,12:36:05,-30.554,117.077,-,1,FINL,-,1103268,1908528
2.2,24/01/02,17:16:05,25/01/02,4:16:05,-30.542,117.064,-,1,FINL,aust,2730543,2142976
2.5,23/01/02,4:19:46,23/01/02,15:19:46,-30.542,117.061,-,2,FINL,-,1103255,1908522
3,21/01/02,19:34:27,22/01/02,6:34:27,-30.544,117.075,-,0,FINL,-,1103251,1908521
2.2,20/01/02,7:36:46,20/01/02,18:36:46,-30.546,117.063,-,1,FINL,-,1103249,2142830
2.4,19/01/02,21:42:40,20/01/02,8:42:40,-30.521,117.044,-,0,FINL,aust,2730542,1908556
2.7,19/01/02,8:14:50,19/01/02,19:14:50,-30.532,117.05,-,1,FINL,-,1103246,1908514
2.1,14/01/02,15:52:56,15/01/02,2:52:56,-30.488,117.082,-,1,FINL,-,1103232,2142820
2.2,14/01/02,2:15:27,14/01/02,13:15:27,-30.517,117.064,-,1,FINL,-,1103227,2142816
2.2,14/01/02,2:13:47,14/01/02,13:13:47,-30.521,117.054,-,1,FINL,-,1103226,2142815
2.2,13/01/02,12:43:52,13/01/02,23:43:52,-30.53,117.038,-,0,FINL,-,1103224,2142809
2,11/01/02,5:10:44,11/01/02,16:10:44,-30.537,117.054,-,0,FINL,-,1103223,2142975
2.1,11/01/02,4:33:38,11/01/02,15:33:38,-30.544,117.055,-,0,FINL,-,1103222,2142965
3,10/01/02,19:17:07,11/01/02,6:17:07,-30.538,117.069,-,1,FINL,-,1103221,1908483
3.3,10/01/02,15:19:50,11/01/02,2:19:50,-30.533,117.07,-,1,FINL,-,1103220,1908482
2.7,8/01/02,23:49:58,9/01/02,10:49:58,-30.532,117.033,-,1,FINL,-,1103218,1908481
2.1,8/01/02,22:11:04,9/01/02,9:11:04,-30.523,117.043,-,0,FINL,-,1103328,2142964
2.2,5/01/02,11:48:50,5/01/02,22:48:50,-30.557,117.049,-,2,FINL,-,1103325,2142962
2.1,4/01/02,13:38:15,5/01/02,0:38:15,-30.557,117.033,-,1,FINL,-,1103324,2142957
2.6,3/01/02,1:13:15,3/01/02,12:13:15,-30.541,117.076,-,0,FINL,-,1103319,1908479
2.4,2/01/02,9:08:16,2/01/02,20:08:16,-30.542,117.073,-,1,FINL,aust,2730541,2142954
2.2,2/01/02,5:14:58,2/01/02,16:14:58,-31.385,117.678,-,5,FINL,-,1103316,2142953
2.2,2/01/02,0:25:52,2/01/02,11:25:52,-30.54,117.073,-,1,FINL,-,1103315,2142952
2.5,1/01/02,4:30:32,1/01/02,15:30:32,-30.562,117.062,-,2,FINL,-,1103312,2142951
2.2,31/12/01,23:48:38,1/01/02,10:48:38,-30.481,117.086,-,5,FINL,-,1096936,2143078
2,31/12/01,17:04:18,1/01/02,4:04:18,-30.549,117.063,-,0,FINL,-,1096973,2143077
2.5,31/12/01,2:06:03,31/12/01,13:06:03,-30.55,117.057,-,0,FINL,aust,2730539,1908456
2.5,30/12/01,14:57:53,31/12/01,1:57:53,-30.549,117.076,-,1,FINL,-,1096970,1908455
2.7,30/12/01,11:00:34,30/12/01,22:00:34,-30.541,117.034,-,1,FINL,-,1096968,2143076
2.3,30/12/01,10:41:53,30/12/01,21:41:53,-30.55,117.066,-,1,FINL,-,1096967,2143075
2.4,30/12/01,9:03:32,30/12/01,20:03:32,-30.526,117.067,-,2,FINL,-,1096966,2143074
2.4,30/12/01,8:21:02,30/12/01,19:21:02,-30.542,117.076,-,2,FINL,-,1096965,1908454
2.7,29/12/01,16:21:50,30/12/01,3:21:50,-30.543,117.057,-,1,FINL,-,1096964,1908453
2.5,29/12/01,14:48:39,30/12/01,1:48:39,-30.533,117.037,-,1,FINL,-,1096938,1908452
2,29/12/01,5:35:28,29/12/01,16:35:28,-30.549,117.048,-,0,FINL,-,1096937,2143073
3.4,28/12/01,22:03:03,29/12/01,9:03:03,-30.542,117.051,-,0,FINL,-,1096959,1908477
2.3,28/12/01,17:34:06,29/12/01,4:34:06,-30.548,117.077,-,2,FINL,-,1096958,1908451
2.5,28/12/01,17:04:53,29/12/01,4:04:53,-30.548,117.055,-,2,FINL,-,1096957,1908476
4.5,28/12/01,16:31:36,29/12/01,3:31:36,-30.533,117.068,TRUE,2,FINL,-,1096956,1908475
2.2,28/12/01,16:29:03,29/12/01,3:29:03,-30.572,117.022,-,2,FINL,-,1096955,2143072
2.1,27/12/01,9:11:02,27/12/01,20:11:02,-30.545,117.042,-,2,FINL,-,1096952,1908450
2.1,27/12/01,1:32:27,27/12/01,12:32:27,-30.531,117.038,-,0,FINL,-,1096951,2143071
3.5,26/12/01,18:58:38,27/12/01,5:58:38,-30.52,117.042,TRUE,1,FINL,-,1096950,1908473
3.1,26/12/01,18:54:44,27/12/01,5:54:44,-31.378,117.692,-,3,FINL,-,1096949,1908472
2.1,25/12/01,21:29:22,26/12/01,8:29:22,-30.549,117.047,-,1,FINL,-,1096947,2143053
2.1,25/12/01,14:05:33,26/12/01,1:05:33,-30.542,117.045,-,1,FINL,-,1096945,1908448
2.3,25/12/01,11:55:42,25/12/01,22:55:42,-30.538,117.069,-,1,FINL,-,1096944,1908447
2.3,25/12/01,9:35:25,25/12/01,20:35:25,-30.554,117.038,-,0,FINL,-,1096943,1908470
2.6,25/12/01,9:31:23,25/12/01,20:31:23,-30.55,117.035,-,0,FINL,-,1096942,1908469
2.4,25/12/01,6:44:39,25/12/01,17:44:39,-30.549,117.05,-,0,FINL,-,1096941,1908446
3.6,25/12/01,5:10:53,25/12/01,16:10:53,-30.527,117.065,TRUE,1,FINL,-,1096940,1908468
3.5,25/12/01,5:06:27,25/12/01,16:06:27,-30.535,117.055,TRUE,0,FINL,aust,2730538,1908467
2.6,25/12/01,5:03:49,25/12/01,16:03:49,-30.533,117.059,-,2,FINL,-,1097020,1908465
4,25/12/01,0:56:49,25/12/01,11:56:49,-30.531,117.069,TRUE,1,FINL,-,1097019,1908466
2.7,21/12/01,11:59:46,21/12/01,22:59:46,-30.516,117.054,-,0,FINL,-,1097016,1908445
2.4,21/12/01,9:54:41,21/12/01,20:54:41,-31.368,117.687,-,1,FINL,-,1097015,1908444
2.6,18/12/01,4:47:51,18/12/01,15:47:51,-31.378,117.683,-,1,FINL,-,1097013,1908463
2,14/12/01,8:30:53,14/12/01,19:30:53,-31.373,117.684,-,1,FINL,-,1097008,1908459
2.4,27/11/01,1:15:37,27/11/01,12:15:37,-30.533,117.061,-,2,FINL,-,1096984,1908505
2,22/11/01,20:01:18,23/11/01,7:01:18,-30.871,118.038,-,4,FINL,-,1097067,1908501
2.2,10/11/01,15:42:29,11/11/01,2:42:29,-30.523,117.054,-,1,FINL,-,1097052,2143058
2.1,9/11/01,17:07:17,10/11/01,4:07:17,-30.544,117.039,-,6,FINL,-,1097049,2143082
2,9/11/01,15:56:05,10/11/01,2:56:05,-30.536,117.019,-,2,FINL,-,1097048,2143081
2,8/11/01,15:58:32,9/11/01,2:58:32,-30.521,117.053,-,2,FINL,-,1097045,2143057
2,8/11/01,1:46:03,8/11/01,12:46:03,-30.508,117.045,-,1,FINL,-,1097043,2143059
2.4,4/11/01,23:29:52,5/11/01,10:29:52,-30.52,117.044,-,0,FINL,aust,2730537,2143052
2.3,3/11/01,22:01:58,4/11/01,9:01:58,-30.526,117.044,-,0,FINL,-,1097039,2143036
2,1/11/01,21:11:39,2/11/01,8:11:39,-30.54,117.032,-,2,FINL,-,1097038,2143035
2.1,1/11/01,4:21:54,1/11/01,15:21:54,-30.535,117.056,-,1,FINL,-,1097036,2143034
2.6,26/10/01,11:06:15,26/10/01,21:06:15,-30.53,117.046,-,1,FINL,-,1097025,1908376
2.4,23/10/01,21:57:11,24/10/01,7:57:11,-30.514,117.046,-,1,FINL,aust,2730536,2143024
2.4,23/10/01,11:11:04,23/10/01,21:11:04,-30.716,117.203,-,2,FINL,-,1097112,2143025
2.1,15/10/01,10:33:25,15/10/01,20:33:25,-30.518,117.043,-,1,FINL,-,1097097,2143016
2.4,14/10/01,17:58:12,15/10/01,3:58:12,-30.765,116.309,-,2,FINL,-,1097094,2142986
2.2,14/10/01,6:41:33,14/10/01,16:41:33,-30.52,117.059,-,0,FINL,aust,2730535,2142985
2.9,12/10/01,10:29:14,12/10/01,20:29:14,-30.536,117.055,-,0,FINL,-,1097088,1908406
2.4,11/10/01,17:04:09,12/10/01,3:04:09,-30.52,117.04,-,0,FINL,-,1097084,2142984
2.6,11/10/01,6:28:40,11/10/01,16:28:40,-30.52,117.038,-,0,FINL,aust,2730534,1908404
2,9/10/01,15:56:05,10/10/01,1:56:05,-30.509,117.044,-,0,FINL,aust,2730533,2143022
2,8/10/01,12:51:02,8/10/01,22:51:02,-30.519,117.042,-,0,FINL,-,1097075,2142960
2.4,8/10/01,11:40:41,8/10/01,21:40:41,-30.518,117.041,-,0,FINL,-,1097074,2142946
2.2,7/10/01,15:12:39,8/10/01,1:12:39,-30.517,117.048,-,0,FINL,aust,2730532,1908403
2.2,7/10/01,9:44:33,7/10/01,19:44:33,-30.526,117.058,-,2,FINL,-,1097071,2142945
2.8,7/10/01,2:33:42,7/10/01,12:33:42,-30.511,117.052,-,0,FINL,aust,2730531,1908402
2.6,7/10/01,2:31:24,7/10/01,12:31:24,-30.524,117.048,-,2,FINL,-,1097069,1908401
3.7,5/10/01,14:55:54,6/10/01,0:55:54,-30.506,117.056,TRUE,1,FINL,-,1097156,1908342
2,3/10/01,20:47:08,4/10/01,6:47:08,-30.513,117.057,-,0,FINL,-,1097153,2143249
2.3,2/10/01,22:36:06,3/10/01,8:36:06,-30.521,117.061,-,0,FINL,aust,2730529,2143247
2.7,2/10/01,21:29:58,3/10/01,7:29:58,-30.511,117.067,-,1,FINL,-,1097147,1908399
2.1,2/10/01,17:26:05,3/10/01,3:26:05,-30.519,117.04,-,0,FINL,-,1097143,2142702
2,2/10/01,7:40:42,2/10/01,17:40:42,-30.51,117.059,-,1,FINL,-,1097134,2143257
2.3,1/10/01,23:40:53,2/10/01,9:40:53,-30.521,117.042,-,1,FINL,-,1097122,2143235
2,1/10/01,19:13:20,2/10/01,5:13:20,-30.519,117.047,-,1,FINL,-,1097116,2143229
2.1,1/10/01,16:27:45,2/10/01,2:27:45,-30.519,117.051,-,0,FINL,-,1097201,2143198
3.1,1/10/01,13:52:13,1/10/01,23:52:13,-30.498,117.085,-,1,FINL,-,1097198,1908398
2.3,1/10/01,13:51:48,1/10/01,23:51:48,-30.524,117.037,-,0,FINL,-,1097197,2143196
2.2,1/10/01,13:00:37,1/10/01,23:00:37,-30.523,117.038,-,0,FINL,-,1097196,2143195
2.3,1/10/01,10:35:25,1/10/01,20:35:25,-30.518,117.045,-,2,FINL,-,1097191,2143190
2.6,1/10/01,5:32:22,1/10/01,15:32:22,-30.534,117.047,-,0,FINL,-,1097187,1908338
2.4,1/10/01,5:15:45,1/10/01,15:15:45,-30.517,117.046,-,0,FINL,-,1097185,2143186
3.8,1/10/01,4:52:15,1/10/01,14:52:15,-30.525,117.049,TRUE,0,FINL,-,1097184,1908337
2.6,30/09/01,23:24:07,1/10/01,9:24:07,-30.513,117.039,-,0,FINL,-,1097176,1908336
2.4,30/09/01,12:00:10,30/09/01,22:00:10,-30.513,117.059,-,2,FINL,-,1097162,2143305
2.1,30/09/01,5:23:47,30/09/01,15:23:47,-30.509,117.049,-,0,FINL,-,1097244,2143300
2.6,30/09/01,4:37:36,30/09/01,14:37:36,-30.493,117.046,-,0,FINL,-,1097243,1908335
3,30/09/01,4:02:38,30/09/01,14:02:38,-30.501,117.045,-,0,FINL,-,1097241,1908334
2.3,29/09/01,18:17:30,30/09/01,4:17:30,-30.511,117.055,-,0,FINL,-,1097235,2143272
2.3,29/09/01,18:14:24,30/09/01,4:14:24,-30.513,117.054,-,0,FINL,-,1097234,2143271
2,29/09/01,15:05:56,30/09/01,1:05:56,-30.514,117.055,-,0,FINL,-,1097231,2143265
2.5,29/09/01,14:02:18,30/09/01,0:02:18,-30.512,117.057,-,0,FINL,-,1097230,1908333
2,29/09/01,4:24:16,29/09/01,14:24:16,-30.512,117.06,-,0,FINL,-,1097229,2143263
2.7,29/09/01,4:05:32,29/09/01,14:05:32,-30.511,117.056,-,0,FINL,-,1097228,1908332
2.7,29/09/01,3:53:48,29/09/01,13:53:48,-30.516,117.072,-,3,FINL,-,1097226,1908331
2.3,29/09/01,1:15:07,29/09/01,11:15:07,-30.52,117.057,-,0,FINL,-,1097224,2143226
2.7,29/09/01,0:03:27,29/09/01,10:03:27,-30.509,117.062,-,1,FINL,-,1097223,1908330
