   117.026    -30.569       0.02 2002.21764737813 5.000000
   117.026    -30.868       0.02 2003.29381629306 6.700000
   117.028    -30.550       0.02 2002.67900792123 2.000000
   117.031    -30.537       0.02 2002.21337366197 0.000000
   117.031    -30.562       0.02 2002.06261034822 3.400000
   117.032    -30.526       0.02 2002.87845740408 2.000000
   117.033    -30.557       0.02 2004.00945160991 1.000000
   117.033    -30.587       0.02 2002.84615763556 3.200000
   117.034    -30.528       0.02 2002.53590532075 2.000000
   117.035    -30.506       0.02 2002.72723361567 0.000000
   117.036    -30.513       0.02 2002.44150733896 0.000000
   117.037    -30.514       0.02 2002.45640300593 2.000000
   117.037    -30.525       0.02 2002.00255190271 0.000000
   117.037    -30.545       0.02 2002.25241069901 2.000000
   117.038    -30.539       0.02 2001.89115432257 1.100000
   117.039    -30.534       0.02 2001.92951370827 2.000000
   117.041    -30.520       0.02 2002.45367111567 2.000000
   117.043    -30.514       0.02 2002.33809299424 2.000000
   117.043    -30.514       0.02 2002.87102917047 2.000000
   117.043    -30.521       0.02 2002.34017054054 -0.300000
   117.043    -30.522       0.02 2002.52055710748 0.000000
   117.043    -30.536       0.02 2002.3359355797 0.000000
   117.044    -30.523       0.02 2002.49310786704 2.000000
   117.045    -30.499       0.02 2002.81650490056 -0.600000
   117.046    -30.538       0.02 2004.12292631807 1.100000
   117.046    -30.685       0.02 2000.99839444539 2.800000
   117.047    -30.535       0.02 2003.37909818237 1.000000
   117.047    -30.547       0.02 2002.52633835748 0.000000
   117.049    -30.525       0.02 2002.64030349741 2.000000
   117.049    -30.534       0.02 2001.97207620827 2.000000
   117.050    -31.709       0.02 2004.26742168844 4.700000
   117.051    -30.520       0.02 2001.45813059216 1.400000
   117.051    -30.566       0.02 2002.09971566516 5.000000
   117.051    -31.649       0.02 2004.62817452848 8.100000
   117.052    -30.532       0.02 2002.68407679054 -0.700000
   117.052    -30.662       0.02 2000.81386322391 0.000000
   117.053    -30.511       0.02 2002.36548286704 -0.500000
   117.053    -30.527       0.02 2001.15197839665 0.900000
   117.053    -30.543       0.02 2002.81159959408 1.300000
   117.053    -30.674       0.02 2000.95655320984 8.000000
   117.053    -31.638       0.02 2004.75891282845 6.900000
   117.054    -30.520       0.02 2003.17795685033 2.000000
   117.054    -30.675       0.02 2001.4091670184 5.200000
   117.054    -30.685       0.02 2000.87904317581 4.800000
   117.057    -30.546       0.02 2001.75890665165 2.000000
   117.057    -30.585       0.02 2001.97213464665 5.000000
   117.058    -30.507       0.02 2002.67842846889 0.200000
   117.058    -30.520       0.02 2002.61898419794 0.200000
   117.058    -31.702       0.02 2007.19095467098 5.300000
   117.059    -31.684       0.02 2002.65588213695 1.000000
   117.060    -30.528       0.02 2002.57351891304 0.000000
   117.062    -30.546       0.02 2002.84367444292 2.000000
   117.062    -30.807       0.02 2001.69722782864 3.600000
   117.063    -30.496       0.02 2003.63342687895 3.300000
   117.063    -30.519       0.02 2002.18259993868 0.000000
   117.063    -30.523       0.02 2003.14489087811 -0.400000
   117.063    -30.701       0.02 2001.38775441336 5.300000
   117.064    -30.514       0.02 2003.18552339769 0.300000
   117.064    -30.541       0.02 2003.09191705168 2.000000
   117.064    -30.542       0.02 2001.96315316516 1.500000
   117.065    -30.513       0.02 2002.75815304158 2.000000
   117.065    -30.514       0.02 2002.38582563313 -0.500000
   117.065    -30.665       0.02 2001.06539794614 2.300000
   117.066    -30.512       0.02 2002.48904540269 0.600000
   117.067    -30.559       0.02 2001.88968788739 4.200000
   117.070    -30.518       0.02 2002.77552804158 2.000000
   117.072    -30.520       0.02 2002.60807331118 0.000000
   117.075    -30.464       0.02 2002.2186072919 -0.300000
   117.079    -30.506       0.02 2002.90780212136 -0.200000
   117.079    -30.642       0.02 2000.75422141655 0.000000
   117.080    -30.637       0.02 2001.28968322924 0.000000
   117.081    -30.632       0.02 2001.39208252766 0.000000
   117.083    -30.634       0.02 2000.9570206028 0.000000
   117.084    -30.641       0.02 2001.66046620465 0.000000
   117.085    -31.713       0.02 2003.87172541163 0.000000
   117.087    -30.619       0.02 2001.35848705938 0.000000
   117.087    -30.626       0.02 2000.774978361 0.000000
   117.087    -30.631       0.02 2001.42079433322 0.000000
   117.090    -30.611       0.02 2001.35338289271 0.000000
   117.091    -30.632       0.02 2001.52210277873 0.000000
   117.092    -30.638       0.02 2001.68216875095 0.000000
   117.092    -30.667       0.02 2001.3624352446 2.000000
   117.095    -30.617       0.02 2001.5392457435 0.000000
   117.096    -30.627       0.02 2000.87975324169 0.000000
   117.098    -30.539       0.02 2002.5496543297 0.000000
   117.098    -30.616       0.02 2001.53042629905 0.000000
   117.098    -30.622       0.02 2001.36212942049 0.000000
   117.100    -30.390       0.02 2003.53482332307 1.500000
   117.102    -30.622       0.02 2001.22010627234 0.000000
   117.104    -30.629       0.02 2001.4415599903 0.000000
   117.105    -30.623       0.02 2001.49439911067 0.000000
   117.105    -30.804       0.02 2001.28361264878 0.000000
   117.105    -30.865       0.02 2005.30817404841 0.000000
   117.106    -30.618       0.02 2000.80930245646 0.000000
   117.106    -30.621       0.02 2001.57745234428 0.000000
   117.106    -30.623       0.02 2001.19533776808 4.000000
   117.106    -30.865       0.02 2005.14438296401 0.000000
   117.108    -30.627       0.02 2000.77017055479 0.700000
   117.111    -30.151       0.02 2005.96236668901 2.000000
   117.123    -30.599       0.02 2000.89085512919 7.500000
   117.129    -30.635       0.02 2000.79819134535 0.000000
   117.140    -30.143       0.02 2005.72847490303 2.000000
   117.142    -30.146       0.02 2006.71169538558 2.000000
   117.143    -30.168       0.02 2005.86138520753 2.000000
   117.143    -32.014       0.02 2001.41599750219 2.000000
   117.144    -30.292       0.02 2000.57626544557 4.000000
   117.152    -30.150       0.02 2006.68791182077 2.000000
   117.154    -30.175       0.02 2006.49288927628 2.000000
   117.156    -30.150       0.02 2006.48066646465 2.000000
   117.161    -31.981       0.02 2005.73953649279 0.000000
   117.192    -32.074       0.02 2001.18228905002 0.000000
   117.193    -32.115       0.02 2007.82611694568 0.000000
   117.212    -32.183       0.02 2000.49919385029 1.000000
   117.215    -32.137       0.02 2004.39774947239 1.200000
   117.248    -31.185       0.02 2002.71453144963 0.500000
   117.265    -31.958       0.02 2007.53931502158 0.000000
   117.268    -31.960       0.02 2007.35819989163 0.000000
   117.273    -31.959       0.02 2007.91544812343 0.000000
   117.274    -31.956       0.02 2008.02226058065 10.700000
   117.280    -33.800       0.02 2001.37933696479 10.000000
   117.282    -31.967       0.02 2007.45167896561 2.000000
   117.290    -33.780       0.02 2000.65571254706 11.500000
   117.296    -31.363       0.02 2000.47431869344 0.000000
   117.354    -30.739       0.02 2006.28872120979 10.800000
   117.401    -30.706       0.02 2005.60639469019 3.000000
   117.409    -31.837       0.02 2003.79494764811 1.800000
   117.483    -31.214       0.02 2001.18616591566 0.000000
   117.483    -32.844       0.02 2007.55013878432 4.500000
   117.671    -30.308       0.02 2006.4947371283 3.000000
   117.685    -30.306       0.02 2007.24324525154 10.000000
   117.696    -30.278       0.02 2006.34468388756 3.000000
   117.706    -30.471       0.02 2005.49342286961 0.000000
   117.816    -32.160       0.02 2002.31715241891 0.000000
   117.841    -31.838       0.02 2000.73551256987 4.000000
   117.891    -31.561       0.02 2005.07440596956 7.000000
   118.271    -31.904       0.02 2002.0920332107 2.000000
   118.601    -30.517       0.02 2008.09598852812 9.500000
   115.970    -33.310       0.03 2006.20609086242 10.000000
   116.014    -32.069       0.03 2002.23719738906 5.900000
   116.055    -30.489       0.03 2005.08793148243 0.000000
   116.063    -30.515       0.03 2001.99444368155 0.000000
   116.208    -31.138       0.03 2007.87130130381 0.000000
   116.248    -31.173       0.03 2007.34234565604 0.000000
   116.250    -30.680       0.03 1999.86590794214 1.600000
   116.300    -31.760       0.03 2000.0870367566 5.000000
   116.306    -31.134       0.03 2006.30838327534 0.000000
   116.306    -31.136       0.03 2006.5851130528 0.000000
   116.307    -31.754       0.03 2001.9939268433 3.700000
   116.320    -31.780       0.03 2000.71622058712 5.000000
   116.325    -31.773       0.03 2005.07994541172 5.800000
   116.334    -31.773       0.03 2002.06947313959 1.500000
   116.339    -31.807       0.03 2007.90213321593 5.200000
   116.350    -34.167       0.03 1999.47613426401 5.000000
   116.353    -30.835       0.03 2003.35281000219 1.500000
   116.359    -31.796       0.03 2002.06707614885 2.000000
   116.360    -31.793       0.03 2002.10736665811 2.000000
   116.362    -31.793       0.03 2002.0685842507 2.000000
   116.450    -30.840       0.03 2000.21731708447 1.000000
   116.475    -31.115       0.03 1998.73970789128 5.000000
   116.503    -30.957       0.03 2001.94002006331 5.000000
   116.514    -31.094       0.03 2001.97164729019 0.000000
   116.515    -29.935       0.03 1998.42563470131 5.000000
   116.518    -31.009       0.03 2001.69667106339 0.000000
   116.532    -30.642       0.03 1998.14858628508 5.000000
   116.539    -32.080       0.03 2001.54473094674 3.000000
   116.546    -30.990       0.03 2001.96056635961 5.000000
   116.550    -33.172       0.03 2004.88982164756 18.100000
